page_path,tot,money_diff%,early_diff%,services_diff%,scaleups_diff%,others_diff%
/articles/klarna-fintech-valuation-timeline/,462,0.01234154092,0.3059309112,-0.1009585045,0.1044042776,-0.1611720162
/articles/digital-health-soonicorns/,461,-0.0210602978,0.1517120852,0.1380947713,0.6823359216,-0.2206496512
/articles/pollen-refunds-events/,461,-0.1011553643,1.07657179,0.2092256945,0.6380639237,-0.5446492344
/articles/octopus-ventures-pre-seed-fund-10m/,455,0.2758782255,0.007776838546,0.1050566722,-0.730865173,-0.4410501993
/articles/vc-careers-jobs-tech/,455,0.1676765385,0.007776838546,0.249194499,-0.551441955,-0.3168391324
/articles/european-tech-conference-event/,453,-0.06264018702,-0.1475990026,1.05096779,0.08129224101,-0.2068862896
/articles/sequoia-fifth-partner-europe/,451,0.1552909241,0.3912942,-0.3940991205,0.08608732856,-0.3734364145
/articles/spanish-startups-outside-madrid-barcelona/,450,0.2535866742,0.09048133153,-0.02840427854,-0.1382701557,-0.5066060401
/articles/digital-health-startups-exit/,449,-0.09540738877,1.078320695,0.09547958572,-0.2272613634,-0.3436731491
/articles/perfect-pitch-deck-funding/,449,-0.1456625338,1.042487579,0.6310473832,-0.5909030747,-0.3526639279
/articles/seed-rounds-europe-august/,442,0.1509689251,0.1466191584,0.2859355137,-0.1688483283,-0.4428768326
/articles/general-catalyst-investments-europe/,440,0.22613209,0.2249631947,0.1675709948,-0.4433802441,-0.5320912653
/articles/may-seed-investment/,438,0.07249569761,-0.04494111992,0.5472329126,0.3513067133,-0.3917060768
/articles/polish-startups-to-watch/,432,0.2061023305,-0.2365140951,0.3157025395,-0.2913405886,-0.3458792198
/articles/daniel-ek-secret-healthtech-startup/,431,-0.1718554179,1.090459059,-0.2391796845,-0.1002820651,-0.1008386809
/articles/startup-founders-salary/,425,-0.1698172528,1.896032389,-0.4084696637,-0.1356022614,-0.4395888926
/articles/italy-tech-startup-soonicorns/,422,0.03052278086,-0.1802962565,-0.11934748,0.7410854923,-0.07209623652
/articles/july-seed-round-investment/,412,0.1800089921,-0.1408749656,0.6183436016,-0.3064770032,-0.4513006271
/articles/most-active-us-vcs-europe-2022/,409,-0.1273097436,1.183235501,0.3896907018,-0.4510921723,-0.3979255746
/articles/fintechs-cfo-tech-stack-downturn/,408,0.03068957839,0.5970766849,-0.1694999807,0.1505293974,-0.3271900547
/articles/top-deeptech-startups-spain-portugal/,407,0.1541845591,-0.1698514856,0.3428073546,-0.3481029886,-0.2759440883
/articles/aenu-climate-tech-fund/,402,0.4236798457,-0.3396277721,-0.4290062458,-0.6953822231,-0.3673578126
/articles/nuri-terminates-business-downturn/,399,-0.1619905896,1.258114923,0.2053631131,0.1253298323,-0.4131883184
/articles/pollen-events-salaries-acquisition/,397,-0.02342526548,0.8236979777,0.4592290905,0.439453273,-0.6237687459
/articles/glovo-oscar-pierre-new-vc-fund-news/,395,0.1736687205,0.3848818736,-0.1975111288,-0.5866452446,-0.3459265342
/articles/12-female-partners-moves/,392,0.4338333667,-0.5895645708,0.2268874544,-0.6355465884,-0.5159887638
/articles/europe-psychedelic-startups/,392,-0.05806567152,0.7648723457,0.533609318,0.3536841002,-0.5365849866
/articles/revolut-employees-alumni-founders/,389,0.1443116498,-0.2761987032,0.03965737547,0.1542586197,-0.1905525593
/articles/most-active-web3-investors/,383,0.2425772493,-0.03381571019,0.084483475,-0.5736941817,-0.3781338886
/articles/italian-deeptech-startups/,373,0.2978884212,-0.2020166936,-0.120875185,0.09433732167,-0.4588659957
/articles/state-ma-european-tech/,373,-0.004585575296,0.3155940997,0.641032988,-0.343397607,-0.3181711546
/articles/europe-digital-nomad-visas/,370,-0.1240293608,0.3914870336,0.4475463283,-0.1725922548,-0.08352375013
/articles/startup-vc-founder-photo/,370,-0.1628381866,1.26116643,-0.02512186056,-0.2277527711,-0.2580906549
/articles/checkout-com-40bn-valuation/,366,0.05368537146,0.09898011106,0.0452617905,0.4498474516,-0.2610120273
/articles/safes-startup-fundraising-y-combinator/,366,0.087313628,0.2528373266,-0.2533844354,-0.2193129107,-0.1617449861
/articles/sunday-payments-quits-four-markets/,365,0.1071527638,0.5868670623,-0.2812853567,0.06240665735,-0.4138258558
/articles/europe-climate-green-billionaires/,363,-0.07323118902,-0.1800336824,0.7464633836,-0.04418829797,-0.03248817778
/articles/revenue-based-financing-europe-competitors/,363,-0.09018427702,0.8837064052,-0.09665687055,1.192744493,-0.4662003739
/articles/european-techbio-startups-investors/,360,0.1054355218,0.4301394512,-0.05876664484,-0.5464579767,-0.2935495574
/articles/fintech-funding-data-q3-2022/,360,-0.09969684307,0.3854475933,0.4877559485,0.7007825874,-0.3159765556
/articles/fanbytes-startup-exit-acquisition/,359,-0.137186989,0.8374702559,0.1874307041,-0.09038925686,-0.2016238532
/articles/climate-scientists-climate-tech-investment/,358,0.008471961371,0.2134213919,0.4960674342,-0.429905278,-0.2219460409
/articles/q3-2022-in-data/,354,-0.07864276796,0.272581715,0.3894642203,-0.3081562356,-0.06490821156
/articles/rise-fall-eu-vc-eic/,352,0.1713524244,0.07412817446,-0.5031612788,-0.188262856,-0.1513420008
/articles/european-saas-funding-down-q3-news/,351,-0.08245637366,0.9939444271,-0.03463245624,-0.2440966278,-0.2754354435
/articles/vc-fund-size/,350,0.2073504904,0.5399537305,-0.03187426326,-0.3002494497,-0.6078479176
/articles/klarna-valuation-slash-15bn/,347,0.1468495327,-0.1654085335,0.1969947289,0.5880506004,-0.3950527293
/articles/trouble-ahead-for-european-vc/,347,-0.06596790636,0.43735197,0.4804934805,-0.5294664888,-0.1623807021
/articles/footballer-angel-investors/,346,-0.0514110295,0.9995085535,0.01090884314,-0.5870932447,-0.2882993064
/articles/how-to-pitch-to-sifted/,346,-0.3122729964,0.8832580562,0.9270449822,-0.05621313067,-0.159959837
/articles/chief-financial-officers-navigating-downturn/,345,-0.1021742871,0.5622719005,0.7425358048,0.8338873117,-0.5202572564
/articles/concept-ventures-fundraise-pre-seed/,343,0.05855476915,0.430660639,0.7526963634,-0.5239792175,-0.5056906524
/articles/taavet-hinrikus-vc-fund-plural/,343,0.1961070838,0.2195795611,0.2109538511,-0.3454714241,-0.5056906524
/articles/how-to-pitch-news-sifted/,339,0.01658517104,0.1153189304,0.7088907048,-0.337748373,-0.2855115625
/articles/europe-solo-gps/,336,0.09892338323,0.3407557355,-0.05659790439,-0.3925776473,-0.2671177381
/articles/mental-health-workplace/,335,-0.3080609782,0.6329204182,1.055577515,0.4012417735,-0.1805777382
/articles/boost-fund-capital-pilot/,334,-0.07260517679,0.7582365633,0.5381174782,-0.2667284653,-0.3835932836
/articles/localglobe-scaleup-fund/,333,0.3675490991,-0.202793887,0.4770880901,-0.6935526869,-0.6605643519
/articles/kry-layoffs-digital-health-news/,331,-0.3182912346,1.21163937,-0.2074596834,1.281412293,-0.1584794037
/articles/web2-web3-fintech/,331,-0.03321302357,-0.3437993077,0.55205812,0.788133959,-0.1218915517
/articles/gorillas-hr-executives-layoffs/,330,-0.2229834664,0.8770580297,0.2586580937,2.401565175,-0.5718482166
/articles/sista-vc-fund-raise-france/,330,0.1997135279,0.1213593424,0.05992260523,-0.4433802441,-0.3883545951
/articles/tech-companies-negotiate-salaries/,329,-0.2767369506,1.176181042,0.8272791874,-0.007446028005,-0.34968522
/articles/babylon-benevolentai-deliveroo-uk-tech/,327,-0.1029379763,0.1808490881,0.303631874,0.2482807981,-0.0494244809
/articles/n26-culture-fraud-valentin-stalf/,325,-0.09741759457,0.3613827468,-0.02466737192,0.5071550313,-0.08083810544
/articles/fundraising-in-downturn/,324,-0.02498814229,1.532538611,-0.02165708603,-0.3700805232,-0.6386761405
/articles/solo-gp-europe-vc-fund/,321,0.09915161239,0.6540164214,-0.148718702,-0.4277740827,-0.3837815454
/articles/hayden-wood-bulb-energy-giant-ventures/,320,0.03207221075,0.5083502024,0.05888752456,0.3393662876,-0.4070862357
/articles/inventure-fourth-fund-nordics-news/,319,0.1510562167,0.9165661924,0.02794218179,-0.6801035886,-0.6330127571
/articles/startup-european-innovation-agenda/,319,-0.1318849763,-0.1678067849,0.5761780121,0.08764779886,0.1136164613
/articles/mental-health-for-employees/,318,0.01921112105,0.4672421256,0.06554719452,-0.4865562,-0.200244782
/articles/kwasi-kwarteng-mini-budget-uk-startups-news/,317,-0.17817633,0.9286580927,0.5861223529,-0.4849365035,-0.2359256141
/articles/second-home-silicon-valley-billionaire-shareholder/,316,-0.2924231718,0.8838466663,0.2452413519,0.7438403745,-0.1057589334
/articles/european-deeptech-fundraising/,314,0.06485909152,0.5115526445,0.3924142505,-0.6750096967,-0.3957566733
/articles/fintech-h1-2022-funding-europe/,314,0.02566182435,0.1272595993,0.1487417567,0.4949553953,-0.2671942634
/articles/most-active-investors-saas-startups/,314,0.0517933358,0.7165089352,0.5664660318,-0.610011636,-0.5500315652
/articles/bvnk-crypto-revolut-checkout-com/,313,0.114137445,0.07945829183,0.3270197154,0.2389087218,-0.4325181292
/articles/climate-tech-investment-data-brnd/,313,0.07481494692,0.4392777224,0.1524118581,-0.4131485002,-0.3422369224
/articles/europe-startup-newsletters/,313,0.1796749417,0.3621735587,-0.161882285,-0.2175313336,-0.4325181292
